Terminos_GO	Frecuencia	GO_name	GO_fullname
GO:0062023	1	obsolete collagen-containing extracellular matrix	GO:0062023_obsolete collagen-containing extracellular matrix
GO:0065003	1	protein-containing complex assembly	GO:0065003_protein-containing complex assembly
GO:0070126	1	mitochondrial translational termination	GO:0070126_mitochondrial translational termination
GO:0070268	1	cornification	GO:0070268_cornification
GO:0070417	1	cellular response to cold	GO:0070417_cellular response to cold
GO:0070530	1	K63-linked polyubiquitin modification-dependent protein binding	GO:0070530_K63-linked polyubiquitin modification-dependent protein binding
GO:0070888	1	E-box binding	GO:0070888_E-box binding
GO:0071230	1	cellular response to amino acid stimulus	GO:0071230_cellular response to amino acid stimulus
GO:0071233	1	cellular response to L-leucine	GO:0071233_cellular response to L-leucine
GO:0071276	1	cellular response to cadmium ion	GO:0071276_cellular response to cadmium ion
GO:0071277	1	cellular response to calcium ion	GO:0071277_cellular response to calcium ion
GO:0071377	1	cellular response to glucagon stimulus	GO:0071377_cellular response to glucagon stimulus
GO:0071400	1	cellular response to oleic acid	GO:0071400_cellular response to oleic acid
GO:0071425	1	hematopoietic stem cell proliferation	GO:0071425_hematopoietic stem cell proliferation
GO:0071472	1	cellular response to salt stress	GO:0071472_cellular response to salt stress
GO:0071548	1	response to dexamethasone	GO:0071548_response to dexamethasone
GO:0071577	1	zinc ion transmembrane transport	GO:0071577_zinc ion transmembrane transport
GO:0071578	1	zinc ion import across plasma membrane	GO:0071578_zinc ion import across plasma membrane
GO:0071702	1	obsolete organic substance transport	GO:0071702_obsolete organic substance transport
GO:0071726	1	cellular response to diacyl bacterial lipopeptide	GO:0071726_cellular response to diacyl bacterial lipopeptide
GO:0071727	1	cellular response to triacyl bacterial lipopeptide	GO:0071727_cellular response to triacyl bacterial lipopeptide
GO:0071805	1	potassium ion transmembrane transport	GO:0071805_potassium ion transmembrane transport
GO:0071889	1	14-3-3 protein binding	GO:0071889_14-3-3 protein binding
GO:0071902	1	positive regulation of protein serine/threonine kinase activity	GO:0071902_positive regulation of protein serine/threonine kinase activity
GO:0072341	1	modified amino acid binding	GO:0072341_modified amino acid binding
GO:0072534	1	perineuronal net	GO:0072534_perineuronal net
GO:0072657	1	protein localization to membrane	GO:0072657_protein localization to membrane
GO:0080101	1	obsolete phosphatidyl-N-dimethylethanolamine N-methyltransferase activity	GO:0080101_obsolete phosphatidyl-N-dimethylethanolamine N-methyltransferase activity
GO:0086038	1	calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential	GO:0086038_calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential
GO:0097224	1	obsolete sperm connecting piece	GO:0097224_obsolete sperm connecting piece
GO:0097264	1	self proteolysis	GO:0097264_self proteolysis
GO:0097386	1	glial cell projection	GO:0097386_glial cell projection
GO:0098603	1	selenol Se-methyltransferase activity	GO:0098603_selenol Se-methyltransferase activity
GO:0098685	1	Schaffer collateral - CA1 synapse	GO:0098685_Schaffer collateral - CA1 synapse
GO:0098978	1	glutamatergic synapse	GO:0098978_glutamatergic synapse
GO:0099093	1	calcium export from the mitochondrion	GO:0099093_calcium export from the mitochondrion
GO:0102336	1	obsolete 3-oxo-arachidoyl-CoA synthase activity	GO:0102336_obsolete 3-oxo-arachidoyl-CoA synthase activity
GO:0102337	1	obsolete 3-oxo-cerotoyl-CoA synthase activity	GO:0102337_obsolete 3-oxo-cerotoyl-CoA synthase activity
GO:0102338	1	obsolete 3-oxo-lignoceronyl-CoA synthase activity	GO:0102338_obsolete 3-oxo-lignoceronyl-CoA synthase activity
GO:0102391	1	decanoate-CoA ligase activity	GO:0102391_decanoate-CoA ligase activity
GO:0102756	1	obsolete very-long-chain 3-ketoacyl-CoA synthase activity	GO:0102756_obsolete very-long-chain 3-ketoacyl-CoA synthase activity
GO:0140078	1	class I DNA-(apurinic or apyrimidinic site) endonuclease activity	GO:0140078_class I DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:1900087	1	positive regulation of G1/S transition of mitotic cell cycle	GO:1900087_positive regulation of G1/S transition of mitotic cell cycle
GO:1901052	1	sarcosine metabolic process	GO:1901052_sarcosine metabolic process
GO:1901291	1	negative regulation of double-strand break repair via single-strand annealing	GO:1901291_negative regulation of double-strand break repair via single-strand annealing
GO:1901623	1	regulation of lymphocyte chemotaxis	GO:1901623_regulation of lymphocyte chemotaxis
GO:1902036	1	regulation of hematopoietic stem cell differentiation	GO:1902036_regulation of hematopoietic stem cell differentiation
GO:1904047	1	S-adenosyl-L-methionine binding	GO:1904047_S-adenosyl-L-methionine binding
GO:1904158	1	axonemal central apparatus assembly	GO:1904158_axonemal central apparatus assembly
GO:1904813	1	ficolin-1-rich granule lumen	GO:1904813_ficolin-1-rich granule lumen
GO:1990092	1	calcium-dependent self proteolysis	GO:1990092_calcium-dependent self proteolysis
GO:1990390	1	protein K33-linked ubiquitination	GO:1990390_protein K33-linked ubiquitination
GO:1990578	1	perinuclear endoplasmic reticulum membrane	GO:1990578_perinuclear endoplasmic reticulum membrane
GO:1990904	1	ribonucleoprotein complex	GO:1990904_ribonucleoprotein complex
GO:2000001	1	regulation of DNA damage checkpoint	GO:2000001_regulation of DNA damage checkpoint
GO:2000010	1	positive regulation of protein localization to cell surface	GO:2000010_positive regulation of protein localization to cell surface
GO:2000274	1	regulation of epithelial cell migration, open tracheal system	GO:2000274_regulation of epithelial cell migration, open tracheal system
GO:2000810	1	regulation of bicellular tight junction assembly	GO:2000810_regulation of bicellular tight junction assembly
GO:2000850	1	negative regulation of glucocorticoid secretion	GO:2000850_negative regulation of glucocorticoid secretion
GO:2001256	1	regulation of store-operated calcium entry	GO:2001256_regulation of store-operated calcium entry
